,Indicator,Type,Organization,Rating,Confidence,DateAdded,Description,Source,Tags
0,85.152.162.105,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-11T02:55:13Z,,,Heodo;
1,181.57.193.14,Address,abuse.ch Feodo Tracker,3.0,5,2019-11-08T02:55:09Z,,,Heodo;
2,193.80.169.64,Address,abuse.ch Feodo Tracker,3.0,5,2020-05-01T02:55:08Z,,,Heodo;
3,45.155.173.166,Address,abuse.ch Feodo Tracker,3.0,5,2020-06-22T02:55:13Z,,,TrickBot;
4,45.237.241.97,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-24T02:55:13Z,,,TrickBot;
5,183.87.87.73,Address,abuse.ch Feodo Tracker,3.0,5,2020-06-16T02:55:47Z,,,Heodo;
6,91.121.121.72,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-28T02:56:12Z,,,Heodo;
7,88.247.76.191,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-29T02:57:10Z,,,Heodo;
8,192.119.162.51,Address,abuse.ch Feodo Tracker,3.0,5,2020-12-21T02:55:13Z,,,TrickBot;
9,125.0.215.60,Address,abuse.ch Feodo Tracker,3.0,5,2021-01-06T02:55:19Z,,,Heodo;
10,178.128.14.92,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-19T02:55:11Z,,,Heodo;
11,67.235.68.222,Address,abuse.ch Feodo Tracker,3.0,5,2020-04-16T02:55:10Z,,,Heodo;
12,190.194.151.145,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-04T02:55:50Z,,,Heodo;
13,212.22.70.65,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-05T02:55:14Z,,,TrickBot;
14,105.228.98.115,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-13T02:55:55Z,,,Heodo;
15,85.143.220.121,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-14T02:55:13Z,,,TrickBot;
16,104.131.128.208,Address,abuse.ch Feodo Tracker,3.0,5,2020-09-25T02:56:04Z,,,Heodo;
17,190.100.239.58,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-29T02:57:13Z,,,Heodo;
18,112.186.195.176,Address,abuse.ch Feodo Tracker,3.0,5,2020-12-21T02:56:11Z,,,Heodo;
19,75.177.207.146,Address,abuse.ch Feodo Tracker,3.0,17,2021-01-06T02:55:20Z,,,2021-01-26;Heodo;
20,189.225.211.171,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-01T02:56:08Z,,,Heodo;
21,181.197.2.252,Address,abuse.ch Feodo Tracker,3.0,5,2020-10-26T02:56:30Z,,,Heodo;
22,183.91.15.80,Address,abuse.ch Feodo Tracker,3.0,5,2020-03-10T02:55:09Z,,,Heodo;
23,51.89.177.20,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-05T02:55:14Z,,,TrickBot;
24,200.71.148.138,Address,abuse.ch Feodo Tracker,3.0,5,2019-09-12T02:55:20Z,,,Heodo;
25,95.171.15.71,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-26T02:55:11Z,,,TrickBot;
26,45.148.10.182,Address,abuse.ch Feodo Tracker,3.0,5,2020-08-13T02:55:18Z,,,TrickBot;
27,201.238.171.6,Address,abuse.ch Feodo Tracker,3.0,5,2020-11-29T02:57:11Z,,,Heodo;
28,93.180.157.92,Address,abuse.ch Feodo Tracker,3.0,5,2020-12-22T02:56:50Z,,,Heodo;
29,93.146.48.84,Address,abuse.ch Feodo Tracker,3.0,17,2021-01-06T02:55:20Z,,,2021-01-25;Heodo;
