,Indicator,Type,Organization,Rating,Confidence,DateAdded,Description,Source,Tags
0,2605:6400:40:fe0f:667a:52fe:dd14:f1d3,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
1,2.56.9.86,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
2,2a0c:f040:0:8:0:0:0:d,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
3,59.167.188.138,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
4,2605:6400:20:e87:2c44:141b:6f24:ceb9,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
5,69.30.218.114,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
6,107.189.31.195,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
7,2605:6400:30:eed4:573a:7181:677f:f5ab,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
8,107.189.31.227,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
9,59.115.125.166,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
10,51.81.252.60,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
11,198.98.48.168,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
12,174.105.70.75,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
13,82.118.254.206,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
14,45.61.185.53,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
15,83.97.20.109,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
16,109.228.40.29,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
17,185.100.87.136,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
18,95.211.100.149,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
19,2605:6400:10:b92:12e2:729e:25cc:58cd,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
20,2605:6400:30:f9df:97fc:6efb:ab12:bd55,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
21,185.212.149.103,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
22,45.61.184.244,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
23,82.202.170.31,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
24,2605:6400:30:f745:c786:d1ab:c3bf:1e57,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
25,2605:6400:40:feca:bc44:119e:7d58:8792,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
26,2605:6400:30:f478:0:0:0:0,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
27,2001:41d0:800:163:0:0:0:0,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
28,23.106.122.112,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
29,35.217.37.107,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
30,5.182.210.216,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
31,31.220.49.83,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
32,2605:6400:30:f367:3f51:ed67:23c4:48b1,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
33,2605:6400:10:5a9:0:0:0:0,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
34,2605:6400:30:f9e9:f91e:92a9:9cb1:1b74,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
35,2605:6400:d814:1b8:0:0:0:4,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
36,2605:6400:30:fb03:b137:4c52:b2b1:2c98,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
37,37.187.157.71,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
38,2001:41d0:a:5d47:0:0:0:0,Address,dan.me Tor Exit Nodes,1.0,89,2021-08-01T13:15:02Z,0,0,0
